datetime,open,high,low,close,volume,open_interest
2026-06-01 01:00:00,1051,1053,1049,1051,18111,1323219
2026-06-01 01:01:00,1051,1052,1050,1050,7746,1324035
2026-06-01 01:02:00,1050,1051,1048,1049,7067,1324653
2026-06-01 01:03:00,1049,1049,1046,1046,10046,1325862
2026-06-01 01:04:00,1046,1048,1046,1047,9216,1326788
2026-06-01 01:05:00,1047,1049,1046,1048,6281,1327571
2026-06-01 01:06:00,1048,1050,1048,1049,6366,1328026
2026-06-01 01:07:00,1049,1049,1047,1048,5107,1328582
2026-06-01 01:08:00,1048,1049,1047,1047,3278,1328903
2026-06-01 01:09:00,1047,1048,1046,1046,7466,1330362
2026-06-01 01:10:00,1046,1047,1046,1046,2661,1330211
2026-06-01 01:11:00,1046,1047,1045,1046,6218,1331139
2026-06-01 01:12:00,1046,1048,1046,1048,3251,1331563
2026-06-01 01:13:00,1048,1048,1046,1048,3874,1330836
2026-06-01 01:14:00,1048,1048,1047,1048,1138,1330622
2026-06-01 01:15:00,1048,1048,1047,1047,1891,1331190
2026-06-01 01:16:00,1047,1048,1046,1048,4302,1331649
2026-06-01 01:17:00,1048,1048,1047,1047,892,1331215
2026-06-01 01:18:00,1047,1048,1047,1047,1721,1331131
2026-06-01 01:19:00,1047,1048,1047,1048,1258,1331037
2026-06-01 01:20:00,1048,1048,1047,1048,2382,1330207
2026-06-01 01:21:00,1048,1048,1047,1047,941,1329832
2026-06-01 01:22:00,1047,1049,1047,1049,2488,1329571
2026-06-01 01:23:00,1049,1051,1048,1051,13505,1333239
2026-06-01 01:24:00,1051,1052,1050,1051,4866,1332315
2026-06-01 01:25:00,1051,1052,1050,1051,3164,1332674
2026-06-01 01:26:00,1051,1054,1050,1052,7521,1332756
2026-06-01 01:27:00,1052,1053,1052,1052,4023,1332456
2026-06-01 01:28:00,1052,1053,1052,1053,1747,1332953
2026-06-01 01:29:00,1053,1053,1051,1052,3606,1332792
2026-06-01 01:30:00,1052,1053,1051,1051,2145,1332556
2026-06-01 01:31:00,1051,1053,1051,1052,1343,1332137
2026-06-01 01:32:00,1052,1054,1052,1054,2691,1332816
2026-06-01 01:33:00,1054,1055,1054,1055,7142,1333348
2026-06-01 01:34:00,1055,1055,1053,1054,5081,1334694
2026-06-01 01:35:00,1054,1055,1054,1054,4628,1334369
2026-06-01 01:36:00,1054,1055,1053,1054,2755,1334340
2026-06-01 01:37:00,1054,1055,1053,1053,2054,1334206
2026-06-01 01:38:00,1053,1054,1053,1053,1627,1334381
2026-06-01 01:39:00,1053,1054,1053,1053,911,1334240
2026-06-01 01:40:00,1053,1055,1053,1055,2825,1334249
2026-06-01 01:41:00,1055,1056,1054,1056,11985,1339387
2026-06-01 01:42:00,1056,1056,1054,1054,5078,1339408
2026-06-01 01:43:00,1054,1055,1054,1054,1412,1339163
2026-06-01 01:44:00,1054,1055,1054,1055,1868,1338383
2026-06-01 01:45:00,1055,1055,1054,1055,1576,1338847
2026-06-01 01:46:00,1055,1055,1053,1054,5483,1338212
2026-06-01 01:47:00,1054,1056,1054,1056,2903,1337936
2026-06-01 01:48:00,1056,1056,1054,1056,2462,1337163
2026-06-01 01:49:00,1056,1056,1055,1056,2071,1337028
2026-06-01 01:50:00,1056,1056,1053,1054,3887,1337522
2026-06-01 01:51:00,1054,1056,1054,1054,3369,1338286
2026-06-01 01:52:00,1054,1055,1054,1054,1061,1338169
2026-06-01 01:53:00,1054,1056,1054,1055,2241,1338313
2026-06-01 01:54:00,1055,1056,1055,1055,1072,1338326
2026-06-01 01:55:00,1055,1056,1055,1055,1578,1338011
2026-06-01 01:56:00,1055,1056,1055,1056,759,1337870
2026-06-01 01:57:00,1056,1056,1055,1056,881,1337856
2026-06-01 01:58:00,1056,1056,1055,1056,1041,1337713
2026-06-01 01:59:00,1056,1056,1055,1056,1059,1337710
2026-06-01 02:00:00,1056,1056,1055,1056,833,1337529
2026-06-01 02:01:00,1056,1056,1055,1056,745,1337403
2026-06-01 02:02:00,1056,1056,1055,1056,1068,1336952
2026-06-01 02:03:00,1056,1057,1055,1057,3648,1335838
2026-06-01 02:04:00,1057,1057,1056,1057,1531,1335462
2026-06-01 02:05:00,1057,1057,1056,1057,1155,1335216
2026-06-01 02:06:00,1057,1058,1056,1058,4843,1334508
2026-06-01 02:07:00,1058,1060,1057,1060,13127,1333346
2026-06-01 02:08:00,1060,1060,1058,1059,6952,1332757
2026-06-01 02:09:00,1059,1060,1058,1058,4384,1332658
2026-06-01 02:10:00,1058,1060,1058,1060,3039,1333481
