date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-21,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-27,1,868025.0332387778,217.00625830969446,8664.959227867985,0.0,8664.959227867985,8447.95296955829
2023-07-28,0,0.0,0.0,0.0,-18349.32542372054,-18349.32542372054,-18349.32542372054
2023-07-31,1,857830.963558933,214.45774088973326,-17839.62193972833,17329.918455736122,-509.70348399220893,-724.1612248819422
2023-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,1,868294.8762597148,217.07371906492872,1439.1627783309377,0.0,1439.1627783309377,1222.089059266009
2023-08-03,0,0.0,0.0,0.0,-1439.1627783309377,-1439.1627783309377,-1439.1627783309377
2023-08-04,0,0.0,0.0,0.0,19188.83704441352,19188.83704441352,19188.83704441352
2023-08-07,0,0.0,0.0,0.0,-8634.976669986063,-8634.976669986063,-8634.976669986063
2023-08-08,0,0.0,0.0,0.0,-11033.581300537771,-11033.581300537771,-11033.581300537771
2023-08-09,1,867200.0,216.8,4661.774853609386,-5276.930187213875,-615.155333604489,-831.9553336044889
2023-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0
