datetime,cash,pos,equity,peak,dd
2026-04-14 01:30:00,299978.0,-1,299958.0,299958.0,0.0
2026-04-14 02:00:00,299978.0,-1,299898.0,299958.0,-0.02000280039205489
2026-04-14 02:45:00,299978.0,-1,299898.0,299958.0,-0.02000280039205489
2026-04-14 03:15:00,299978.0,-1,299918.0,299958.0,-0.013335200261369926
2026-04-14 05:45:00,299978.0,-1,299918.0,299958.0,-0.013335200261369926
2026-04-14 06:15:00,299978.0,-1,299898.0,299958.0,-0.02000280039205489
2026-04-14 06:45:00,299978.0,-1,299918.0,299958.0,-0.013335200261369926
2026-04-14 13:00:00,299978.0,-1,299858.0,299958.0,-0.033338000653424814
2026-04-14 13:30:00,299978.0,-1,299938.0,299958.0,-0.006667600130684963
2026-04-14 14:00:00,299978.0,-1,299938.0,299958.0,-0.006667600130684963
2026-04-14 14:30:00,299978.0,-1,299938.0,299958.0,-0.006667600130684963
2026-04-15 01:00:00,299978.0,-1,300018.0,300018.0,0.0
2026-04-15 01:30:00,299978.0,-1,299938.0,300018.0,-0.026665066762660904
2026-04-15 02:00:00,299978.0,-1,299898.0,300018.0,-0.03999760014399136
2026-04-15 02:45:00,299978.0,-1,299958.0,300018.0,-0.01999880007199568
2026-04-15 03:15:00,299978.0,-1,299918.0,300018.0,-0.03333133345332613
2026-04-15 05:45:00,299978.0,-1,299938.0,300018.0,-0.026665066762660904
2026-04-15 06:15:00,299978.0,-1,299898.0,300018.0,-0.03999760014399136
2026-04-15 06:45:00,299978.0,-1,299858.0,300018.0,-0.05333013352532181
2026-04-15 13:00:00,299978.0,-1,299958.0,300018.0,-0.01999880007199568
2026-04-15 13:30:00,299978.0,-1,299998.0,300018.0,-0.006666266690665226
2026-04-15 14:00:00,299978.0,-1,300018.0,300018.0,0.0
2026-04-15 14:30:00,299978.0,-1,299978.0,300018.0,-0.013332533381330452
2026-04-16 01:00:00,299978.0,-1,300098.0,300098.0,0.0
2026-04-16 01:30:00,299978.0,-1,300118.0,300118.0,0.0
2026-04-16 02:00:00,299978.0,-1,300098.0,300118.0,-0.006664045475446324
2026-04-16 02:45:00,299978.0,-1,300158.0,300158.0,0.0
2026-04-16 03:15:00,299978.0,-1,300118.0,300158.0,-0.0133263148075347
2026-04-16 05:45:00,299978.0,-1,300178.0,300178.0,0.0
2026-04-16 06:15:00,299978.0,-1,300158.0,300178.0,-0.006662713456682368
2026-04-16 06:45:00,299978.0,-1,300058.0,300178.0,-0.03997628074009421
2026-04-16 13:00:00,299978.0,-1,300298.0,300298.0,0.0
